Month,Sunspots
1757-02-1,21.2
1757-03-1,26.2
1757-04-1,30
1757-05-1,38.1
1757-06-1,12.8
1757-07-1,25
1757-08-1,51.3
1757-09-1,39.7
1757-10-1,32.5
1757-11-1,64.7
1757-12-1,33.5
1758-01-1,37.6
1758-02-1,52
1758-03-1,49
1758-04-1,72.3
1758-05-1,46.4
1758-06-1,45
1758-07-1,44
1758-08-1,38.7
1758-09-1,62.5
1758-10-1,37.7
1758-11-1,43
1758-12-1,43
1759-01-1,48.3
1759-02-1,44
1759-03-1,46.8
1759-04-1,47
1759-05-1,49
1759-06-1,50
1759-07-1,51
1759-08-1,71.3
1759-09-1,77.2
1759-10-1,59.7
1759-11-1,46.3
1759-12-1,57
1760-01-1,67.3
1760-02-1,59.5
1760-03-1,74.7
1760-04-1,58.3
1760-05-1,72
1760-06-1,48.3
1760-07-1,66
1760-08-1,75.6
1760-09-1,61.3
1760-10-1,50.6
1760-11-1,59.7
1760-12-1,61
1761-01-1,70
1761-02-1,91
1761-03-1,80.7
1761-04-1,71.7
1761-05-1,107.2
1761-06-1,99.3
1761-07-1,94.1
1761-08-1,91.1
1761-09-1,100.7
1761-10-1,88.7
1761-11-1,89.7
1761-12-1,46
1762-01-1,43.8
1762-02-1,72.8
1762-03-1,45.7
1762-04-1,60.2
1762-05-1,39.9
1762-06-1,77.1
1762-07-1,33.8
1762-08-1,67.7
1762-09-1,68.5
1762-10-1,69.3
1762-11-1,77.8
1762-12-1,77.2
1763-01-1,56.5
1763-02-1,31.9
1763-03-1,34.2
1763-04-1,32.9
1763-05-1,32.7
1763-06-1,35.8
1763-07-1,54.2
1763-08-1,26.5
1763-09-1,68.1
1763-10-1,46.3
1763-11-1,60.9
1763-12-1,61.4
1764-01-1,59.7
1764-02-1,59.7
1764-03-1,40.2
1764-04-1,34.4
1764-05-1,44.3
1764-06-1,30
1764-07-1,30
1764-08-1,30
1764-09-1,28.2
1764-10-1,28
1764-11-1,26
1764-12-1,25.7
1765-01-1,24
1765-02-1,26
1765-03-1,25
1765-04-1,22
1765-05-1,20.2
1765-06-1,20
1765-07-1,27
1765-08-1,29.7
1765-09-1,16
1765-10-1,14
1765-11-1,14
1765-12-1,13
1766-01-1,12
1766-02-1,11
1766-03-1,36.6
1766-04-1,6
1766-05-1,26.8
1766-06-1,3
1766-07-1,3.3
1766-08-1,4
1766-09-1,4.3
1766-10-1,5
1766-11-1,5.7
1766-12-1,19.2
1767-01-1,27.4
1767-02-1,30
1767-03-1,43
1767-04-1,32.9
1767-05-1,29.8
1767-06-1,33.3
1767-07-1,21.9
1767-08-1,40.8
1767-09-1,42.7
1767-10-1,44.1
1767-11-1,54.7
1767-12-1,53.3
1768-01-1,53.5
1768-02-1,66.1
1768-03-1,46.3
1768-04-1,42.7
1768-05-1,77.7
1768-06-1,77.4
1768-07-1,52.6
1768-08-1,66.8
1768-09-1,74.8
1768-10-1,77.8
1768-11-1,90.6
1768-12-1,111.8
1769-01-1,73.9
1769-02-1,64.2
1769-03-1,64.3
1769-04-1,96.7
1769-05-1,73.6
1769-06-1,94.4
1769-07-1,118.6
1769-08-1,120.3
1769-09-1,148.8
1769-10-1,158.2
1769-11-1,148.1
1769-12-1,112
1770-01-1,104
1770-02-1,142.5
1770-03-1,80.1
1770-04-1,51
1770-05-1,70.1
1770-06-1,83.3
1770-07-1,109.8
1770-08-1,126.3
1770-09-1,104.4
1770-10-1,103.6
1770-11-1,132.2
1770-12-1,102.3
1771-01-1,36
1771-02-1,46.2
1771-03-1,46.7
1771-04-1,64.9
1771-05-1,152.7
1771-06-1,119.5
1771-07-1,67.7
1771-08-1,58.5
1771-09-1,101.4
1771-10-1,90
1771-11-1,99.7
1771-12-1,95.7
1772-01-1,100.9
1772-02-1,90.8
1772-03-1,31.1
1772-04-1,92.2
1772-05-1,38
1772-06-1,57
1772-07-1,77.3
1772-08-1,56.2
1772-09-1,50.5
1772-10-1,78.6
1772-11-1,61.3
1772-12-1,64
1773-01-1,54.6
1773-02-1,29
1773-03-1,51.2
1773-04-1,32.9
1773-05-1,41.1
1773-06-1,28.4
1773-07-1,27.7
1773-08-1,12.7
1773-09-1,29.3
1773-10-1,26.3
1773-11-1,40.9
1773-12-1,43.2
1774-01-1,46.8
1774-02-1,65.4
1774-03-1,55.7
1774-04-1,43.8
1774-05-1,51.3
1774-06-1,28.5
1774-07-1,17.5
1774-08-1,6.6
1774-09-1,7.9
1774-10-1,14
1774-11-1,17.7
1774-12-1,12.2
1775-01-1,4.4
1775-02-1,0
1775-03-1,11.6
1775-04-1,11.2
1775-05-1,3.9
1775-06-1,12.3
1775-07-1,1
1775-08-1,7.9
1775-09-1,3.2
1775-10-1,5.6
1775-11-1,15.1
1775-12-1,7.9
1776-01-1,21.7
1776-02-1,11.6
1776-03-1,6.3
1776-04-1,21.8
1776-05-1,11.2
1776-06-1,19
1776-07-1,1
1776-08-1,24.2
1776-09-1,16
1776-10-1,30
1776-11-1,35
1776-12-1,40
1777-01-1,45
1777-02-1,36.5
1777-03-1,39
1777-04-1,95.5
1777-05-1,80.3
1777-06-1,80.7
1777-07-1,95
1777-08-1,112
1777-09-1,116.2
1777-10-1,106.5
1777-11-1,146
1777-12-1,157.3
1778-01-1,177.3
1778-02-1,109.3
1778-03-1,134
1778-04-1,145
1778-05-1,238.9
1778-06-1,171.6
1778-07-1,153
1778-08-1,140
1778-09-1,171.7
1778-10-1,156.3
1778-11-1,150.3
1778-12-1,105
1779-01-1,114.7
1779-02-1,165.7
1779-03-1,118
1779-04-1,145
1779-05-1,140
1779-06-1,113.7
1779-07-1,143
1779-08-1,112
1779-09-1,111
1779-10-1,124
1779-11-1,114
1779-12-1,110
1780-01-1,70
1780-02-1,98
1780-03-1,98
1780-04-1,95
1780-05-1,107.2
1780-06-1,88
1780-07-1,86
1780-08-1,86
1780-09-1,93.7
1780-10-1,77
1780-11-1,60
1780-12-1,58.7
1781-01-1,98.7
1781-02-1,74.7
1781-03-1,53
1781-04-1,68.3
1781-05-1,104.7
1781-06-1,97.7
1781-07-1,73.5
1781-08-1,66
1781-09-1,51
1781-10-1,27.3
1781-11-1,67
1781-12-1,35.2
1782-01-1,54
1782-02-1,37.5
1782-03-1,37
1782-04-1,41
1782-05-1,54.3
1782-06-1,38
1782-07-1,37
1782-08-1,44
1782-09-1,34
1782-10-1,23.2
1782-11-1,31.5
1782-12-1,30
1783-01-1,28
1783-02-1,38.7
1783-03-1,26.7
1783-04-1,28.3
1783-05-1,23
1783-06-1,25.2
1783-07-1,32.2
1783-08-1,20
1783-09-1,18
1783-10-1,8
1783-11-1,15
1783-12-1,10.5
1784-01-1,13
1784-02-1,8
1784-03-1,11
1784-04-1,10
1784-05-1,6
1784-06-1,9
1784-07-1,6
1784-08-1,10
1784-09-1,10
1784-10-1,8
1784-11-1,17
1784-12-1,14
1785-01-1,6.5
1785-02-1,8
1785-03-1,9
1785-04-1,15.7
1785-05-1,20.7
1785-06-1,26.3
1785-07-1,36.3
1785-08-1,20
1785-09-1,32
1785-10-1,47.2
1785-11-1,40.2
1785-12-1,27.3
1786-01-1,37.2
1786-02-1,47.6
1786-03-1,47.7
1786-04-1,85.4
1786-05-1,92.3
1786-06-1,59
1786-07-1,83
1786-08-1,89.7
1786-09-1,111.5
1786-10-1,112.3
1786-11-1,116
1786-12-1,112.7
1787-01-1,134.7
1787-02-1,106
1787-03-1,87.4
1787-04-1,127.2
1787-05-1,134.8
1787-06-1,99.2
1787-07-1,128
1787-08-1,137.2
1787-09-1,157.3
1787-10-1,157
1787-11-1,141.5
1787-12-1,174
1788-01-1,138
1788-02-1,129.2
1788-03-1,143.3
1788-04-1,108.5
1788-05-1,113
1788-06-1,154.2
1788-07-1,141.5
1788-08-1,136
1788-09-1,141
1788-10-1,142
1788-11-1,94.7
1788-12-1,129.5
1789-01-1,114
1789-02-1,125.3
1789-03-1,120
1789-04-1,123.3
1789-05-1,123.5
1789-06-1,120
1789-07-1,117
1789-08-1,103
1789-09-1,112
1789-10-1,89.7
1789-11-1,134
1789-12-1,135.5
1790-01-1,103
1790-02-1,127.5
1790-03-1,96.3
1790-04-1,94
1790-05-1,93
1790-06-1,91
1790-07-1,69.3
1790-08-1,87
1790-09-1,77.3
1790-10-1,84.3
1790-11-1,82
1790-12-1,74
1791-01-1,72.7
1791-02-1,62
1791-03-1,74
1791-04-1,77.2
1791-05-1,73.7
1791-06-1,64.2
1791-07-1,71
1791-08-1,43
1791-09-1,66.5
1791-10-1,61.7
1791-11-1,67
1791-12-1,66
1792-01-1,58
1792-02-1,64
1792-03-1,63
1792-04-1,75.7
1792-05-1,62
1792-06-1,61
1792-07-1,45.8
1792-08-1,60
1792-09-1,59
1792-10-1,59
1792-11-1,57
1792-12-1,56
1793-01-1,56
1793-02-1,55
1793-03-1,55.5
1793-04-1,53
1793-05-1,52.3
1793-06-1,51
1793-07-1,50
1793-08-1,29.3
1793-09-1,24
1793-10-1,47
1793-11-1,44
1793-12-1,45.7
1794-01-1,45
1794-02-1,44
1794-03-1,38
1794-04-1,28.4
1794-05-1,55.7
1794-06-1,41.5
1794-07-1,41
1794-08-1,40
1794-09-1,11.1
1794-10-1,28.5
1794-11-1,67.4
1794-12-1,51.4
1795-01-1,21.4
1795-02-1,39.9
1795-03-1,12.6
1795-04-1,18.6
1795-05-1,31
1795-06-1,17.1
1795-07-1,12.9
1795-08-1,25.7
1795-09-1,13.5
1795-10-1,19.5
1795-11-1,25
1795-12-1,18
1796-01-1,22
1796-02-1,23.8
1796-03-1,15.7
1796-04-1,31.7
1796-05-1,21
1796-06-1,6.7
1796-07-1,26.9
1796-08-1,1.5
1796-09-1,18.4
1796-10-1,11
1796-11-1,8.4
1796-12-1,5.1
1797-01-1,14.4
1797-02-1,4.2
1797-03-1,4
1797-04-1,4
1797-05-1,7.3
1797-06-1,11.1
1797-07-1,4.3
1797-08-1,6
1797-09-1,5.7
1797-10-1,6.9
1797-11-1,5.8
1797-12-1,3
1798-01-1,2
1798-02-1,4
1798-03-1,12.4
1798-04-1,1.1
1798-05-1,0
1798-06-1,0
1798-07-1,0
1798-08-1,3
1798-09-1,2.4
1798-10-1,1.5
1798-11-1,12.5
1798-12-1,9.9
1799-01-1,1.6
1799-02-1,12.6
1799-03-1,21.7
1799-04-1,8.4
1799-05-1,8.2
1799-06-1,10.6
1799-07-1,2.1
1799-08-1,0
1799-09-1,0
1799-10-1,4.6
1799-11-1,2.7
1799-12-1,8.6
1800-01-1,6.9
1800-02-1,9.3
1800-03-1,13.9
1800-04-1,0
1800-05-1,5
1800-06-1,23.7
1800-07-1,21
1800-08-1,19.5
1800-09-1,11.5
1800-10-1,12.3
1800-11-1,10.5
1800-12-1,40.1
1801-01-1,27
1801-02-1,29
1801-03-1,30
1801-04-1,31
1801-05-1,32
1801-06-1,31.2
1801-07-1,35
1801-08-1,38.7
1801-09-1,33.5
1801-10-1,32.6
1801-11-1,39.8
1801-12-1,48.2
1802-01-1,47.8
1802-02-1,47
1802-03-1,40.8
1802-04-1,42
1802-05-1,44
1802-06-1,46
1802-07-1,48
1802-08-1,50
1802-09-1,51.8
1802-10-1,38.5
1802-11-1,34.5
1802-12-1,50
1803-01-1,50
1803-02-1,50.8
1803-03-1,29.5
1803-04-1,25
1803-05-1,44.3
1803-06-1,36
1803-07-1,48.3
1803-08-1,34.1
1803-09-1,45.3
1803-10-1,54.3
1803-11-1,51
1803-12-1,48
1804-01-1,45.3
1804-02-1,48.3
1804-03-1,48
1804-04-1,50.6
1804-05-1,33.4
1804-06-1,34.8
1804-07-1,29.8
1804-08-1,43.1
1804-09-1,53
1804-10-1,62.3
1804-11-1,61
1804-12-1,60
1805-01-1,61
1805-02-1,44.1
1805-03-1,51.4
1805-04-1,37.5
1805-05-1,39
1805-06-1,40.5
1805-07-1,37.6
1805-08-1,42.7
1805-09-1,44.4
1805-10-1,29.4
1805-11-1,41
1805-12-1,38.3
1806-01-1,39
1806-02-1,29.6
1806-03-1,32.7
1806-04-1,27.7
1806-05-1,26.4
1806-06-1,25.6
1806-07-1,30
1806-08-1,26.3
1806-09-1,24
1806-10-1,27
1806-11-1,25
1806-12-1,24
1807-01-1,12
1807-02-1,12.2
1807-03-1,9.6
1807-04-1,23.8
1807-05-1,10
1807-06-1,12
1807-07-1,12.7
1807-08-1,12
1807-09-1,5.7
1807-10-1,8
1807-11-1,2.6
1807-12-1,0
1808-01-1,0
1808-02-1,4.5
1808-03-1,0
1808-04-1,12.3
1808-05-1,13.5
1808-06-1,13.5
1808-07-1,6.7
1808-08-1,8
1808-09-1,11.7
1808-10-1,4.7
1808-11-1,10.5
1808-12-1,12.3
1809-01-1,7.2
1809-02-1,9.2
1809-03-1,0.9
1809-04-1,2.5
1809-05-1,2
1809-06-1,7.7
1809-07-1,0.3
1809-08-1,0.2
1809-09-1,0.4
1809-10-1,0
1809-11-1,0
1809-12-1,0
1810-01-1,0
1810-02-1,0
1810-03-1,0
1810-04-1,0
1810-05-1,0
1810-06-1,0
1810-07-1,0
1810-08-1,0
1810-09-1,0
1810-10-1,0
1810-11-1,0
1810-12-1,0
1811-01-1,0
1811-02-1,0
1811-03-1,0
1811-04-1,0
1811-05-1,0
1811-06-1,0
1811-07-1,6.6
1811-08-1,0
1811-09-1,2.4
1811-10-1,6.1
1811-11-1,0.8
1811-12-1,1.1
1812-01-1,11.3
1812-02-1,1.9
1812-03-1,0.7
1812-04-1,0
1812-05-1,1
1812-06-1,1.3
1812-07-1,0.5
1812-08-1,15.6
1812-09-1,5.2
1812-10-1,3.9
1812-11-1,7.9
1812-12-1,10.1
1813-01-1,0
1813-02-1,10.3
1813-03-1,1.9
1813-04-1,16.6
1813-05-1,5.5
1813-06-1,11.2
1813-07-1,18.3
1813-08-1,8.4
1813-09-1,15.3
1813-10-1,27.8
1813-11-1,16.7
1813-12-1,14.3
1814-01-1,22.2
1814-02-1,12
1814-03-1,5.7
1814-04-1,23.8
1814-05-1,5.8
1814-06-1,14.9
1814-07-1,18.5
1814-08-1,2.3
1814-09-1,8.1
1814-10-1,19.3
1814-11-1,14.5
1814-12-1,20.1
1815-01-1,19.2
1815-02-1,32.2
1815-03-1,26.2
1815-04-1,31.6
1815-05-1,9.8
1815-06-1,55.9
1815-07-1,35.5
1815-08-1,47.2
1815-09-1,31.5
1815-10-1,33.5
1815-11-1,37.2
1815-12-1,65
1816-01-1,26.3
1816-02-1,68.8
1816-03-1,73.7
1816-04-1,58.8
1816-05-1,44.3
1816-06-1,43.6
1816-07-1,38.8
1816-08-1,23.2
1816-09-1,47.8
1816-10-1,56.4
1816-11-1,38.1
1816-12-1,29.9
1817-01-1,36.4
1817-02-1,57.9
1817-03-1,96.2
1817-04-1,26.4
1817-05-1,21.2
1817-06-1,40
1817-07-1,50
1817-08-1,45
1817-09-1,36.7
1817-10-1,25.6
1817-11-1,28.9
1817-12-1,28.4
1818-01-1,34.9
1818-02-1,22.4
1818-03-1,25.4
1818-04-1,34.5
1818-05-1,53.1
1818-06-1,36.4
1818-07-1,28
1818-08-1,31.5
1818-09-1,26.1
1818-10-1,31.7
1818-11-1,10.9
1818-12-1,25.8
1819-01-1,32.5
1819-02-1,20.7
1819-03-1,3.7
1819-04-1,20.2
1819-05-1,19.6
1819-06-1,35
1819-07-1,31.4
1819-08-1,26.1
1819-09-1,14.9
1819-10-1,27.5
1819-11-1,25.1
1819-12-1,30.6
1820-01-1,19.2
1820-02-1,26.6
1820-03-1,4.5
1820-04-1,19.4
1820-05-1,29.3
1820-06-1,10.8
1820-07-1,20.6
1820-08-1,25.9
1820-09-1,5.2
1820-10-1,9
1820-11-1,7.9
1820-12-1,9.7
1821-01-1,21.5
1821-02-1,4.3
1821-03-1,5.7
1821-04-1,9.2
1821-05-1,1.7
1821-06-1,1.8
1821-07-1,2.5
1821-08-1,4.8
1821-09-1,4.4
1821-10-1,18.8
1821-11-1,4.4
1821-12-1,0
1822-01-1,0
1822-02-1,0.9
1822-03-1,16.1
1822-04-1,13.5
1822-05-1,1.5
1822-06-1,5.6
1822-07-1,7.9
1822-08-1,2.1
1822-09-1,0
1822-10-1,0.4
1822-11-1,0
1822-12-1,0
1823-01-1,0
1823-02-1,0
1823-03-1,0.6
1823-04-1,0
1823-05-1,0
1823-06-1,0
1823-07-1,0.5
1823-08-1,0
1823-09-1,0
1823-10-1,0
1823-11-1,0
1823-12-1,20.4
1824-01-1,21.6
1824-02-1,10.8
1824-03-1,0
1824-04-1,19.4
1824-05-1,2.8
1824-06-1,0
1824-07-1,0
1824-08-1,1.4
1824-09-1,20.5
1824-10-1,25.2
1824-11-1,0
1824-12-1,0.8
1825-01-1,5
1825-02-1,15.5
1825-03-1,22.4
1825-04-1,3.8
1825-05-1,15.4
1825-06-1,15.4
1825-07-1,30.9
1825-08-1,25.4
1825-09-1,15.7
1825-10-1,15.6
1825-11-1,11.7
1825-12-1,22
1826-01-1,17.7
1826-02-1,18.2
1826-03-1,36.7
1826-04-1,24
1826-05-1,32.4
1826-06-1,37.1
1826-07-1,52.5
1826-08-1,39.6
1826-09-1,18.9
1826-10-1,50.6
1826-11-1,39.5
1826-12-1,68.1
1827-01-1,34.6
1827-02-1,47.4
1827-03-1,57.8
1827-04-1,46
1827-05-1,56.3
1827-06-1,56.7
1827-07-1,42.9
1827-08-1,53.7
1827-09-1,49.6
1827-10-1,57.2
1827-11-1,48.2
1827-12-1,46.1
1828-01-1,52.8
1828-02-1,64.4
1828-03-1,65
1828-04-1,61.1
1828-05-1,89.1
1828-06-1,98
1828-07-1,54.3
1828-08-1,76.4
1828-09-1,50.4
1828-10-1,54.7
1828-11-1,57
1828-12-1,46.6
1829-01-1,43
1829-02-1,49.4
1829-03-1,72.3
1829-04-1,95
1829-05-1,67.5
1829-06-1,73.9
1829-07-1,90.8
1829-08-1,78.3
1829-09-1,52.8
1829-10-1,57.2
1829-11-1,67.6
1829-12-1,56.5
1830-01-1,52.2
1830-02-1,72.1
1830-03-1,84.6
1830-04-1,107.1
1830-05-1,66.3
1830-06-1,65.1
1830-07-1,43.9
1830-08-1,50.7
1830-09-1,62.1
1830-10-1,84.4
1830-11-1,81.2
1830-12-1,82.1
1831-01-1,47.5
1831-02-1,50.1
1831-03-1,93.4
1831-04-1,54.6
1831-05-1,38.1
1831-06-1,33.4
1831-07-1,45.2
1831-08-1,54.9
1831-09-1,37.9
1831-10-1,46.2
1831-11-1,43.5
1831-12-1,28.9
1832-01-1,30.9
1832-02-1,55.5
1832-03-1,55.1
1832-04-1,26.9
1832-05-1,41.3
1832-06-1,26.7
1832-07-1,13.9
1832-08-1,8.9
1832-09-1,8.2
1832-10-1,21.1
1832-11-1,14.3
1832-12-1,27.5
1833-01-1,11.3
1833-02-1,14.9
1833-03-1,11.8
1833-04-1,2.8
1833-05-1,12.9
1833-06-1,1
1833-07-1,7
1833-08-1,5.7
1833-09-1,11.6
1833-10-1,7.5
1833-11-1,5.9
1833-12-1,9.9
1834-01-1,4.9
1834-02-1,18.1
1834-03-1,3.9
1834-04-1,1.4
1834-05-1,8.8
1834-06-1,7.8
1834-07-1,8.7
1834-08-1,4
1834-09-1,11.5
1834-10-1,24.8
1834-11-1,30.5
1834-12-1,34.5
1835-01-1,7.5
1835-02-1,24.5
1835-03-1,19.7
1835-04-1,61.5
1835-05-1,43.6
1835-06-1,33.2
1835-07-1,59.8
1835-08-1,59
1835-09-1,100.8
1835-10-1,95.2
1835-11-1,100
1835-12-1,77.5
1836-01-1,88.6
1836-02-1,107.6
1836-03-1,98.1
1836-04-1,142.9
1836-05-1,111.4
1836-06-1,124.7
1836-07-1,116.7
1836-08-1,107.8
1836-09-1,95.1
1836-10-1,137.4
1836-11-1,120.9
1836-12-1,206.2
1837-01-1,188
1837-02-1,175.6
1837-03-1,134.6
1837-04-1,138.2
1837-05-1,111.3
1837-06-1,158
1837-07-1,162.8
1837-08-1,134
1837-09-1,96.3
1837-10-1,123.7
1837-11-1,107
1837-12-1,129.8
1838-01-1,144.9
1838-02-1,84.8
1838-03-1,140.8
1838-04-1,126.6
1838-05-1,137.6
1838-06-1,94.5
1838-07-1,108.2
1838-08-1,78.8
1838-09-1,73.6
1838-10-1,90.8
1838-11-1,77.4
1838-12-1,79.8
1839-01-1,107.6
1839-02-1,102.5
1839-03-1,77.7
1839-04-1,61.8
1839-05-1,53.8
1839-06-1,54.6
1839-07-1,84.7
1839-08-1,131.2
1839-09-1,132.7
1839-10-1,90.8
1839-11-1,68.8
1839-12-1,63.6
1840-01-1,81.2
1840-02-1,87.7
1840-03-1,55.5
1840-04-1,65.9
1840-05-1,69.2
1840-06-1,48.5
1840-07-1,60.7
1840-08-1,57.8
1840-09-1,74
1840-10-1,49.8
1840-11-1,54.3
1840-12-1,53.7
1841-01-1,24
1841-02-1,29.9
1841-03-1,29.7
1841-04-1,42.6
1841-05-1,67.4
1841-06-1,55.7
1841-07-1,30.8
1841-08-1,39.3
1841-09-1,35.1
1841-10-1,28.5
1841-11-1,19.8
1841-12-1,38.8
1842-01-1,20.4
1842-02-1,22.1
1842-03-1,21.7
1842-04-1,26.9
1842-05-1,24.9
1842-06-1,20.5
1842-07-1,12.6
1842-08-1,26.5
1842-09-1,18.5
1842-10-1,38.1
1842-11-1,40.5
1842-12-1,17.6
1843-01-1,13.3
1843-02-1,3.5
1843-03-1,8.3
1843-04-1,8.8
1843-05-1,21.1
1843-06-1,10.5
1843-07-1,9.5
1843-08-1,11.8
1843-09-1,4.2
1843-10-1,5.3
1843-11-1,19.1
1843-12-1,12.7
1844-01-1,9.4
1844-02-1,14.7
1844-03-1,13.6
1844-04-1,20.8
1844-05-1,12
1844-06-1,3.7
1844-07-1,21.2
1844-08-1,23.9
1844-09-1,6.9
1844-10-1,21.5
1844-11-1,10.7
1844-12-1,21.6
1845-01-1,25.7
1845-02-1,43.6
1845-03-1,43.3
1845-04-1,56.9
1845-05-1,47.8
1845-06-1,31.1
1845-07-1,30.6
1845-08-1,32.3
1845-09-1,29.6
1845-10-1,40.7
1845-11-1,39.4
1845-12-1,59.7
1846-01-1,38.7
1846-02-1,51
1846-03-1,63.9
1846-04-1,69.2
1846-05-1,59.9
1846-06-1,65.1
1846-07-1,46.5
1846-08-1,54.8
1846-09-1,107.1
1846-10-1,55.9
1846-11-1,60.4
1846-12-1,65.5
1847-01-1,62.6
1847-02-1,44.9
1847-03-1,85.7
1847-04-1,44.7
1847-05-1,75.4
1847-06-1,85.3
1847-07-1,52.2
1847-08-1,140.6
1847-09-1,161.2
1847-10-1,180.4
1847-11-1,138.9
1847-12-1,109.6
1848-01-1,159.1
1848-02-1,111.8
1848-03-1,108.9
1848-04-1,107.1
1848-05-1,102.2
1848-06-1,123.8
1848-07-1,139.2
1848-08-1,132.5
1848-09-1,100.3
1848-10-1,132.4
1848-11-1,114.6
1848-12-1,159.9
1849-01-1,156.7
1849-02-1,131.7
1849-03-1,96.5
1849-04-1,102.5
1849-05-1,80.6
1849-06-1,81.2
1849-07-1,78
1849-08-1,61.3
1849-09-1,93.7
1849-10-1,71.5
1849-11-1,99.7
1849-12-1,97
1850-01-1,78
1850-02-1,89.4
1850-03-1,82.6
1850-04-1,44.1
1850-05-1,61.6
1850-06-1,70
1850-07-1,39.1
1850-08-1,61.6
1850-09-1,86.2
1850-10-1,71
1850-11-1,54.8
1850-12-1,60
1851-01-1,75.5
1851-02-1,105.4
1851-03-1,64.6
1851-04-1,56.5
1851-05-1,62.6
1851-06-1,63.2
1851-07-1,36.1
1851-08-1,57.4
1851-09-1,67.9
1851-10-1,62.5
1851-11-1,50.9
1851-12-1,71.4
1852-01-1,68.4
1852-02-1,67.5
1852-03-1,61.2
1852-04-1,65.4
1852-05-1,54.9
1852-06-1,46.9
1852-07-1,42
1852-08-1,39.7
1852-09-1,37.5
1852-10-1,67.3
1852-11-1,54.3
1852-12-1,45.4
1853-01-1,41.1
1853-02-1,42.9
1853-03-1,37.7
1853-04-1,47.6
1853-05-1,34.7
1853-06-1,40
1853-07-1,45.9
1853-08-1,50.4
1853-09-1,33.5
1853-10-1,42.3
1853-11-1,28.8
1853-12-1,23.4
1854-01-1,15.4
1854-02-1,20
1854-03-1,20.7
1854-04-1,26.4
1854-05-1,24
1854-06-1,21.1
1854-07-1,18.7
1854-08-1,15.8
1854-09-1,22.4
1854-10-1,12.7
1854-11-1,28.2
1854-12-1,21.4
1855-01-1,12.3
1855-02-1,11.4
1855-03-1,17.4
1855-04-1,4.4
1855-05-1,9.1
1855-06-1,5.3
1855-07-1,0.4
1855-08-1,3.1
1855-09-1,0
1855-10-1,9.7
1855-11-1,4.3
1855-12-1,3.1
1856-01-1,0.5
1856-02-1,4.9
1856-03-1,0.4
1856-04-1,6.5
1856-05-1,0
1856-06-1,5
1856-07-1,4.6
1856-08-1,5.9
1856-09-1,4.4
1856-10-1,4.5
1856-11-1,7.7
1856-12-1,7.2
1857-01-1,13.7
1857-02-1,7.4
1857-03-1,5.2
1857-04-1,11.1
1857-05-1,29.2
1857-06-1,16
1857-07-1,22.2
1857-08-1,16.9
1857-09-1,42.4
1857-10-1,40.6
1857-11-1,31.4
1857-12-1,37.2
1858-01-1,39
1858-02-1,34.9
1858-03-1,57.5
1858-04-1,38.3
1858-05-1,41.4
1858-06-1,44.5
1858-07-1,56.7
1858-08-1,55.3
1858-09-1,80.1
1858-10-1,91.2
1858-11-1,51.9
1858-12-1,66.9
1859-01-1,83.7
1859-02-1,87.6
1859-03-1,90.3
1859-04-1,85.7
1859-05-1,91
1859-06-1,87.1
1859-07-1,95.2
1859-08-1,106.8
1859-09-1,105.8
1859-10-1,114.6
1859-11-1,97.2
1859-12-1,81
1860-01-1,81.5
1860-02-1,88
1860-03-1,98.9
1860-04-1,71.4
